customer_id,customer_name,segment,city,region
CUST-0001,Budi Utami,Consumer,Jakarta Selatan,Jawa
CUST-0002,Agus Hidayat,Home Office,Medan,Sumatra
CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa
CUST-0004,Dewi Wibowo,Corporate,Palembang,Sumatra
CUST-0005,Siti Santoso,Consumer,Semarang,Jawa
CUST-0006,Rina Hidayat,Consumer,Jakarta Selatan,Jawa
CUST-0007,Ahmad Santoso,Consumer,Palembang,Sumatra
CUST-0008,Rina Utami,Home Office,Palembang,Sumatra
CUST-0009,Fajar Hidayat,Corporate,Palembang,Sumatra
CUST-0010,Nani Prasetyo,Corporate,Denpasar,Bali & Nusa Tenggara
CUST-0011,Andi Utami,Consumer,Yogyakarta,Jawa
CUST-0012,Maya Prasetyo,Home Office,Semarang,Jawa
CUST-0013,Rina Pertiwi,Home Office,Surabaya,Jawa
CUST-0014,Rian Aminah,Consumer,Makassar,Sulawesi
CUST-0015,Rian Wijaya,Consumer,Semarang,Jawa
CUST-0016,Ahmad Prasetyo,Consumer,Makassar,Sulawesi
CUST-0017,Indah Suryani,Consumer,Yogyakarta,Jawa
CUST-0018,Dian Aminah,Corporate,Jakarta Selatan,Jawa
CUST-0019,Hendra Hadi,Consumer,Palembang,Sumatra
CUST-0020,Rizky Wibowo,Consumer,Balikpapan,Kalimantan
CUST-0021,Dewi Santoso,Corporate,Bandung,Jawa
CUST-0022,Hendra Aminah,Consumer,Bandung,Jawa
CUST-0023,Rian Kurniawan,Consumer,Bandung,Jawa
CUST-0024,Indah Saputra,Consumer,Medan,Sumatra
CUST-0025,Andi Wijaya,Consumer,Makassar,Sulawesi
CUST-0026,Rina Saputra,Corporate,Makassar,Sulawesi
CUST-0027,Dewi Wibowo,Consumer,Medan,Sumatra
CUST-0028,Yudi Utami,Corporate,Surabaya,Jawa
CUST-0029,Andi Nugroho,Corporate,Bandung,Jawa
CUST-0030,Lestari Setiawan,Consumer,Semarang,Jawa
CUST-0031,Agus Saputra,Corporate,Palembang,Sumatra
CUST-0032,Siti Hidayat,Consumer,Makassar,Sulawesi
CUST-0033,Maya Kurniawan,Consumer,Yogyakarta,Jawa
CUST-0034,Dewi Hidayat,Home Office,Medan,Sumatra
CUST-0035,Maya Hidayat,Home Office,Balikpapan,Kalimantan
CUST-0036,Dian Setiawan,Home Office,Denpasar,Bali & Nusa Tenggara
CUST-0037,Eko Prasetyo,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0038,Agus Utami,Consumer,Surabaya,Jawa
CUST-0039,Yudi Prasetyo,Corporate,Palembang,Sumatra
CUST-0040,Fajar Setiawan,Consumer,Balikpapan,Kalimantan
CUST-0041,Dian Wijaya,Consumer,Balikpapan,Kalimantan
CUST-0042,Eko Suryani,Consumer,Bandung,Jawa
CUST-0043,Dewi Pertiwi,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0044,Rian Lestari,Home Office,Yogyakarta,Jawa
CUST-0045,Fajar Wibowo,Consumer,Surabaya,Jawa
CUST-0046,Dian Kurniawan,Corporate,Jakarta Selatan,Jawa
CUST-0047,Indah Suryani,Consumer,Balikpapan,Kalimantan
CUST-0048,Yudi Hadi,Corporate,Medan,Sumatra
CUST-0049,Rian Saputra,Corporate,Yogyakarta,Jawa
CUST-0050,Lestari Pertiwi,Consumer,Palembang,Sumatra
CUST-0051,Rian Prasetyo,Home Office,Makassar,Sulawesi
CUST-0052,Andi Nugroho,Corporate,Semarang,Jawa
CUST-0053,Lestari Suryani,Home Office,Yogyakarta,Jawa
CUST-0054,Titi Setiawan,Home Office,Surabaya,Jawa
CUST-0055,Hendra Hadi,Corporate,Jakarta Selatan,Jawa
CUST-0056,Ahmad Hidayat,Home Office,Palembang,Sumatra
CUST-0057,Rizky Pertiwi,Consumer,Surabaya,Jawa
CUST-0058,Yudi Pertiwi,Consumer,Surabaya,Jawa
CUST-0059,Budi Wibowo,Consumer,Palembang,Sumatra
CUST-0060,Bambang Santoso,Consumer,Makassar,Sulawesi
CUST-0061,Rizky Setiawan,Consumer,Jakarta Selatan,Jawa
CUST-0062,Agus Santoso,Consumer,Medan,Sumatra
CUST-0063,Nani Aminah,Home Office,Bandung,Jawa
CUST-0064,Bambang Hadi,Consumer,Jakarta Selatan,Jawa
CUST-0065,Yudi Pertiwi,Consumer,Jakarta Selatan,Jawa
CUST-0066,Eko Saputra,Corporate,Surabaya,Jawa
CUST-0067,Yudi Lestari,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0068,Titi Hadi,Home Office,Medan,Sumatra
CUST-0069,Fajar Hidayat,Consumer,Balikpapan,Kalimantan
CUST-0070,Rina Utami,Home Office,Palembang,Sumatra
CUST-0071,Dian Saputra,Corporate,Medan,Sumatra
CUST-0072,Indah Setiawan,Consumer,Makassar,Sulawesi
CUST-0073,Indah Aminah,Consumer,Palembang,Sumatra
CUST-0074,Agus Aminah,Home Office,Bandung,Jawa
CUST-0075,Budi Wibowo,Corporate,Makassar,Sulawesi
CUST-0076,Agus Wibowo,Corporate,Palembang,Sumatra
CUST-0077,Budi Aminah,Corporate,Bandung,Jawa
CUST-0078,Agus Aminah,Consumer,Yogyakarta,Jawa
CUST-0079,Maya Aminah,Consumer,Yogyakarta,Jawa
CUST-0080,Agus Prasetyo,Consumer,Palembang,Sumatra
CUST-0081,Rina Suryani,Home Office,Denpasar,Bali & Nusa Tenggara
CUST-0082,Nani Wibowo,Corporate,Surabaya,Jawa
CUST-0083,Agus Pertiwi,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0084,Fajar Hidayat,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0085,Rian Saputra,Consumer,Jakarta Selatan,Jawa
CUST-0086,Rizky Kurniawan,Consumer,Semarang,Jawa
CUST-0087,Indah Hadi,Corporate,Semarang,Jawa
CUST-0088,Rian Santoso,Corporate,Yogyakarta,Jawa
CUST-0089,Maya Pertiwi,Home Office,Semarang,Jawa
CUST-0090,Agus Hidayat,Consumer,Jakarta Selatan,Jawa
CUST-0091,Yudi Nugroho,Consumer,Bandung,Jawa
CUST-0092,Fajar Lestari,Corporate,Surabaya,Jawa
CUST-0093,Indah Hidayat,Corporate,Medan,Sumatra
CUST-0094,Indah Pertiwi,Corporate,Jakarta Selatan,Jawa
CUST-0095,Rian Santoso,Corporate,Palembang,Sumatra
CUST-0096,Budi Aminah,Consumer,Palembang,Sumatra
CUST-0097,Andi Kurniawan,Corporate,Bandung,Jawa
CUST-0098,Bambang Hidayat,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0099,Siti Lestari,Consumer,Semarang,Jawa
CUST-0100,Budi Kurniawan,Consumer,Semarang,Jawa
CUST-0101,Indah Prasetyo,Consumer,Medan,Sumatra
CUST-0102,Yudi Saputra,Corporate,Semarang,Jawa
CUST-0103,Eko Hidayat,Consumer,Denpasar,Bali & Nusa Tenggara
CUST-0104,Rina Santoso,Corporate,Medan,Sumatra
CUST-0105,Yudi Santoso,Home Office,Balikpapan,Kalimantan
