order_id,order_date,status,payment_method,customer_id,customer_name,segment,city,region,product_id,product_name,category,sub_category,quantity,unit_price,cost_price,discount,net_revenue,gross_profit
ORD-00107,2026-02-01,Completed,Credit Card,CUST-0002,Agus Hidayat,Home Office,Medan,Sumatra,PROD-018,Botol Minum Tumbler 500ml,Perlengkapan Rumah,Dapur & Makan,1,95000.00,48000.00,0.00,95000.00,47000.00
ORD-00592,2025-04-27,Completed,Transfer Bank,CUST-0002,Agus Hidayat,Home Office,Medan,Sumatra,PROD-021,Bantal Leher Memory Foam,Perlengkapan Rumah,Kebutuhan Harian,2,85000.00,42000.00,0.00,170000.00,86000.00
ORD-00592,2025-04-27,Completed,Transfer Bank,CUST-0002,Agus Hidayat,Home Office,Medan,Sumatra,PROD-022,Rak Sepatu Susun Plastik,Perlengkapan Rumah,Storage,2,125000.00,68000.00,0.00,250000.00,114000.00
ORD-00688,2025-03-20,Completed,COD,CUST-0002,Agus Hidayat,Home Office,Medan,Sumatra,PROD-002,Keyboard Mechanical RGB,Elektronik,Aksesoris Komputer,1,450000.00,280000.00,0.15,382500.00,102500.00
ORD-00498,2025-10-31,Returned,E-Wallet,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-006,Kabel Data Type-C Fast Charge,Elektronik,Aksesoris Mobile,1,35000.00,15000.00,0.00,35000.00,20000.00
ORD-00498,2025-10-31,Returned,E-Wallet,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-018,Botol Minum Tumbler 500ml,Perlengkapan Rumah,Dapur & Makan,1,95000.00,48000.00,0.00,95000.00,47000.00
ORD-00771,2025-08-08,Completed,Transfer Bank,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-016,Tunik Batik Modern,Pakaian,Wanita,1,175000.00,95000.00,0.00,175000.00,80000.00
ORD-00771,2025-08-08,Completed,Transfer Bank,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-003,Headset Gaming Surround 7.1,Elektronik,Audio,2,350000.00,210000.00,0.05,665000.00,245000.00
ORD-00771,2025-08-08,Completed,Transfer Bank,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-015,Blouse Wanita Casual,Pakaian,Wanita,2,135000.00,70000.00,0.00,270000.00,130000.00
ORD-00981,2025-03-24,Completed,Transfer Bank,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-017,Topi Baseball Canvas,Pakaian,Aksesoris Fashion,1,50000.00,22000.00,0.00,50000.00,28000.00
ORD-00981,2025-03-24,Completed,Transfer Bank,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-008,Webcam Full HD 1080p,Elektronik,Aksesoris Komputer,1,280000.00,175000.00,0.10,252000.00,77000.00
ORD-00981,2025-03-24,Completed,Transfer Bank,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-010,USB Flashdrive 64GB,Elektronik,Storage,1,85000.00,45000.00,0.00,85000.00,40000.00
ORD-00981,2025-03-24,Completed,Transfer Bank,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-024,Pulpen Gel Pack 12 Pcs,Alat Tulis & Kantor,Alat Tulis,1,36000.00,18000.00,0.00,36000.00,18000.00
ORD-00996,2025-08-21,Completed,Credit Card,CUST-0003,Rian Saputra,Corporate,Surabaya,Jawa,PROD-020,Organizer Meja Acrylic,Perlengkapan Rumah,Storage,1,65000.00,32000.00,0.05,61750.00,29750.00
ORD-00151,2025-05-29,Completed,COD,CUST-0004,Dewi Wibowo,Corporate,Palembang,Sumatra,PROD-022,Rak Sepatu Susun Plastik,Perlengkapan Rumah,Storage,2,125000.00,68000.00,0.15,212500.00,76500.00
ORD-00943,2026-02-10,Completed,E-Wallet,CUST-0004,Dewi Wibowo,Corporate,Palembang,Sumatra,PROD-016,Tunik Batik Modern,Pakaian,Wanita,5,175000.00,95000.00,0.20,700000.00,225000.00
ORD-00970,2025-05-12,Completed,Transfer Bank,CUST-0004,Dewi Wibowo,Corporate,Palembang,Sumatra,PROD-017,Topi Baseball Canvas,Pakaian,Aksesoris Fashion,1,50000.00,22000.00,0.20,40000.00,18000.00
ORD-00970,2025-05-12,Completed,Transfer Bank,CUST-0004,Dewi Wibowo,Corporate,Palembang,Sumatra,PROD-009,Earphones TWS Bluetooth 5.3,Elektronik,Audio,1,250000.00,140000.00,0.00,250000.00,110000.00
ORD-00553,2025-09-23,Completed,Transfer Bank,CUST-0005,Siti Santoso,Consumer,Semarang,Jawa,PROD-007,Powerbank 10000mAh Dual Port,Elektronik,Aksesoris Mobile,2,200000.00,120000.00,0.05,380000.00,140000.00
ORD-00553,2025-09-23,Completed,Transfer Bank,CUST-0005,Siti Santoso,Consumer,Semarang,Jawa,PROD-002,Keyboard Mechanical RGB,Elektronik,Aksesoris Komputer,1,450000.00,280000.00,0.05,427500.00,147500.00
ORD-00559,2025-02-05,Completed,E-Wallet,CUST-0005,Siti Santoso,Consumer,Semarang,Jawa,PROD-011,Kaos Polos Cotton Combed 30s,Pakaian,Pria,1,75000.00,35000.00,0.00,75000.00,40000.00
ORD-00606,2025-04-30,Completed,Credit Card,CUST-0005,Siti Santoso,Consumer,Semarang,Jawa,PROD-023,Buku Catatan Hardcover A5,Alat Tulis & Kantor,Kertas & Buku,1,45000.00,20000.00,0.00,45000.00,25000.00
ORD-00788,2025-12-26,Completed,Credit Card,CUST-0005,Siti Santoso,Consumer,Semarang,Jawa,PROD-003,Headset Gaming Surround 7.1,Elektronik,Audio,1,350000.00,210000.00,0.05,332500.00,122500.00
ORD-00879,2025-10-15,Completed,Transfer Bank,CUST-0005,Siti Santoso,Consumer,Semarang,Jawa,PROD-003,Headset Gaming Surround 7.1,Elektronik,Audio,1,350000.00,210000.00,0.00,350000.00,140000.00
